Run Date,Subject,Story ID,Workflow,Requests (G3 Pro),Requests (G2.5 Pro),Requests (G2.5 Flash),Requests (G2.5 Lite),Input Tokens (G3 Pro),Input Tokens (G2.5 Pro),Input Tokens (G2.5 Flash),Input Tokens (G2.5 Lite),Cache Reads (G3 Pro),Cache Reads (G2.5 Pro),Cache Reads (G2.5 Flash),Cache Reads (G2.5 Lite),Output Tokens (G3 Pro),Output Tokens (G2.5 Pro),Output Tokens (G2.5 Flash),Output Tokens (G2.5 Lite),Code Changes +,Code Changes -,AI API Time (sec),AI Tool Time (sec),Human Action Time (min),Interventions,Notes
20250204,b,1-3,dev-story,58,,2,,200869,,9450,,1235399,,,,10106,,289,,386,25,447,2293,0,0,
20250204,c,1-3,dev-story,59,,2,,325452,,12983,,1247087,,,,11107,,216,,419,36,415,1418,0,1,phải dừng thủ công vì agent tự nhảy sang workflow mới
20250204,b,1-4,create-story,11,,,1,62368,,,1004,197741,,,,2005,,,12,102,1,99,145,0,0,
20250204,c,1-4,create-story,9,,,1,25837,,,1128,97662,,,,1506,,,11,86,1,79,242,0,0,"đây là lần chạy hiếm hoi khá ổn. nhìn chung cả 2 chạy khá sạch sẽ, không có noise, không có nhiều text thừa (thậm chí phần kết luận của C dài hơn). có vẻ như dự án càng to, càng nhiều file implementation, càng phức tạp, việc sử dụng coretext càng có ưu thế. tuy số dòng tài liệu tạo ra ít hơn 20%, nhưng số token input chỉ bằng 1/3. "
20250204,b,1-4,dev-story,53,,2,,191269,,14027,,1044597,,,,8708,,201,,279,21,426,135,0,0,
20250204,c,1-4,dev-story,69,1,3,,255273,5236,23775,,1614302,,,,12202,147,330,,402,52,541,396,0,0,"chạy coretext lint lại phát hiện ra lỗi liên quan đến link. phải thay _bmad-output/ bằng ../ vì file story nằm trong thư mục implement mà file kia lại ở thư mục planning. tự nhiên dùng đến 2.5 pro (cái pro thứ 2 trong các ô token) dù đã chọn 3 pro. việc xuất hiện 2.5 flash và 2.5 lite đã xuất hiện ở các story khác, có thể là tự động thực hiện các tác vụ phụ."
20250204,b,1-5,create-story,5,,,1,42814,,,4341,58295,,,,1856,,,22,97,1,75,93,0,0,
20250204,c,1-5,create-story,7,,,,41946,,,,81428,,,,1929,,,,99,1,90,160,0,0,"phát hiện ra bug, graph databáe bị thiếu, chỉ có các node của 1-1 và 1-2 thay vì cả 1-3 1-4. sau đó phải chạy coretext sync. với tổng 11 file thì chạy khá lâu. phát hiện ra là với bước create-story thì dùng coretext có lợi thế hơn thật, tuy nhiên ở bước dev-story, vì create-story đã tạo tài liệu gói gọn và chi tiết vào 1 file duy nhất, dùng coretext ở bước này hơi thừa."
20250204,b,1-5,dev-story,56,,2,,350114,,17457,,2839376,,,,17019,,219,,367,93,513,17.4,0,0,
20250204,c,1-5,dev-story,47,,1,1,230844,,8425,609,1116147,,,,15215,,92,12,782,112,460,47.6,0,0,"dùng coretext hiệu quả hơn tuyệt đối. lại chứng minh là context càng lớn thì dùng coretext càng hiệu quả. những lần trước bị sai là do chưa update graph, graph bị thiếu nên agent phải tự đọc code nhiều hơn để hiểu công việc hơn."
,b,,,,,,,,,,,,,,,,,,,,,,,,,"chạy xong không chỉnh sửa gì thì lỗi frontend, backend chạy được có API. căn bản vì không chạy bước code-review(bước này thường là human in the loop nhất để kiểm soát chất lượng) và không có sự giám sát của người, lỗi thì là thiếu plugin @tailwindcss/postcss, sẽ không động đến để bảo toàn tính nguyên vẹn của thí nghiệm => AI kiểm soát môi trường hơi tệ"
,c,,,,,,,,,,,,,,,,,,,,,,,,,"chạy xong không chỉnh sửa gì thì lỗi backend, frontend chạy được có API. căn bản vì không chạy bước code-review (bước này thường là human in the loop nhất để kiểm soát chất lượng) và không có sự giám sát của người, lỗi thì là thiếu module psycopg2, sẽ không động đến để bảo toàn tính nguyên vẹn của thí nghiệm => AI kiểm soát môi trường hơi tệ"
